,stop_name,002 (Middleborough/Lakeville Line),004 (Middleborough/Lakeville Line),005 (Middleborough/Lakeville Line),006 (Middleborough/Lakeville Line),007 (Middleborough/Lakeville Line),008 (Middleborough/Lakeville Line),009 (Middleborough/Lakeville Line),010 (Middleborough/Lakeville Line),011 (Middleborough/Lakeville Line),012 (Middleborough/Lakeville Line),013 (Middleborough/Lakeville Line),014 (Middleborough/Lakeville Line),015 (Middleborough/Lakeville Line),016 (Middleborough/Lakeville Line),017 (Middleborough/Lakeville Line),018 (Middleborough/Lakeville Line),019 (Middleborough/Lakeville Line),020 (Middleborough/Lakeville Line),021 (Middleborough/Lakeville Line),022 (Middleborough/Lakeville Line),023 (Middleborough/Lakeville Line),024 (Middleborough/Lakeville Line),025 (Middleborough/Lakeville Line),027 (Middleborough/Lakeville Line),028 (Middleborough/Lakeville Line),029 (Middleborough/Lakeville Line),030 (Middleborough/Lakeville Line),031 (Middleborough/Lakeville Line),040 (Kingston Line),042 (Kingston Line),043 (Kingston Line),044 (Kingston Line),045 (Kingston Line),046 (Kingston Line),047 (Kingston Line),048 (Kingston Line),049 (Kingston Line),050 (Kingston Line),051 (Kingston Line),052 (Kingston Line),053 (Kingston Line),054 (Kingston Line),055 (Kingston Line),056 (Kingston Line),057 (Kingston Line),058 (Kingston Line),059 (Kingston Line),060 (Kingston Line),061 (Kingston Line),062 (Kingston Line),063 (Kingston Line),065 (Kingston Line),066 (Kingston Line),067 (Kingston Line),070 (Greenbush Line),071 (Greenbush Line),072 (Greenbush Line),073 (Greenbush Line),074 (Greenbush Line),075 (Greenbush Line),076 (Greenbush Line),077 (Greenbush Line),078 (Greenbush Line),079 (Greenbush Line),080 (Greenbush Line),081 (Greenbush Line),082 (Greenbush Line),083 (Greenbush Line),084 (Greenbush Line),085 (Greenbush Line),086 (Greenbush Line),087 (Greenbush Line),088 (Greenbush Line),089 (Greenbush Line),090 (Greenbush Line),091 (Greenbush Line),092 (Greenbush Line),093 (Greenbush Line),094 (Greenbush Line),095 (Greenbush Line),100 (Newburyport/Rockport Line),101 (Newburyport/Rockport Line),102 (Newburyport/Rockport Line),103 (Newburyport/Rockport Line),104 (Newburyport/Rockport Line),105 (Newburyport/Rockport Line),106 (Newburyport/Rockport Line),107 (Newburyport/Rockport Line),108 (Newburyport/Rockport Line),109 (Newburyport/Rockport Line),110 (Newburyport/Rockport Line),111 (Newburyport/Rockport Line),112 (Newburyport/Rockport Line),113 (Newburyport/Rockport Line),114 (Newburyport/Rockport Line),115 (Newburyport/Rockport Line),116 (Newburyport/Rockport Line),117 (Newburyport/Rockport Line),118 (Newburyport/Rockport Line),119 (Newburyport/Rockport Line),120 (Newburyport/Rockport Line),121 (Newburyport/Rockport Line),122 (Newburyport/Rockport Line),123 (Newburyport/Rockport Line),124 (Newburyport/Rockport Line),125 (Newburyport/Rockport Line),126 (Newburyport/Rockport Line),127 (Newburyport/Rockport Line),140 (Newburyport/Rockport Line),141 (Newburyport/Rockport Line),142 (Newburyport/Rockport Line),143 (Newburyport/Rockport Line),144 (Newburyport/Rockport Line),145 (Newburyport/Rockport Line),146 (Newburyport/Rockport Line),147 (Newburyport/Rockport Line),148 (Newburyport/Rockport Line),149 (Newburyport/Rockport Line),150 (Newburyport/Rockport Line),151 (Newburyport/Rockport Line),152 (Newburyport/Rockport Line),153 (Newburyport/Rockport Line),154 (Newburyport/Rockport Line),155 (Newburyport/Rockport Line),156 (Newburyport/Rockport Line),157 (Newburyport/Rockport Line),158 (Newburyport/Rockport Line),159 (Newburyport/Rockport Line),160 (Newburyport/Rockport Line),161 (Newburyport/Rockport Line),162 (Newburyport/Rockport Line),163 (Newburyport/Rockport Line),164 (Newburyport/Rockport Line),165 (Newburyport/Rockport Line),167 (Newburyport/Rockport Line),191 (Newburyport/Rockport Line),192 (Newburyport/Rockport Line),197 (Newburyport/Rockport Line),198 (Newburyport/Rockport Line),200 (Haverhill Line),201 (Haverhill Line),202 (Haverhill Line),203 (Haverhill Line),204 (Haverhill Line),205 (Haverhill Line),206 (Haverhill Line),207 (Haverhill Line),208 (Haverhill Line),209 (Haverhill Line),210 (Haverhill Line),211 (Haverhill Line),212 (Haverhill Line),213 (Haverhill Line),214 (Haverhill Line),215 (Haverhill Line),216 (Haverhill Line),217 (Haverhill Line),218 (Haverhill Line),219 (Haverhill Line),220 (Haverhill Line),221 (Haverhill Line),223 (Haverhill Line),224 (Haverhill Line),225 (Haverhill Line),280 (Haverhill Line),281 (Haverhill Line),282 (Haverhill Line),283 (Haverhill Line),284 (Haverhill Line),285 (Haverhill Line),286 (Haverhill Line),287 (Haverhill Line),288 (Haverhill Line),289 (Haverhill Line),290 (Haverhill Line),291 (Haverhill Line),292 (Haverhill Line),293 (Haverhill Line),294 (Haverhill Line),295 (Haverhill Line),297 (Haverhill Line),298 (Haverhill Line),300 (Lowell Line),301 (Lowell Line),302 (Lowell Line),304 (Lowell Line),305 (Lowell Line),306 (Lowell Line),307 (Lowell Line),308 (Lowell Line),309 (Lowell Line),310 (Lowell Line),312 (Lowell Line),313 (Lowell Line),316 (Lowell Line),317 (Lowell Line),320 (Lowell Line),321 (Lowell Line),324 (Lowell Line),325 (Lowell Line),327 (Lowell Line),328 (Lowell Line),329 (Lowell Line),330 (Lowell Line),331 (Lowell Line),333 (Lowell Line),334 (Lowell Line),335 (Lowell Line),336 (Lowell Line),337 (Lowell Line),338 (Lowell Line),339 (Lowell Line),340 (Lowell Line),341 (Lowell Line),342 (Lowell Line),343 (Lowell Line),344 (Lowell Line),345 (Lowell Line),346 (Lowell Line),400 (Fitchburg Line),402 (Fitchburg Line),403 (Fitchburg Line),404 (Fitchburg Line),405 (Fitchburg Line),406 (Fitchburg Line),407 (Fitchburg Line),408 (Fitchburg Line),410 (Fitchburg Line),411 (Fitchburg Line),414 (Fitchburg Line),415 (Fitchburg Line),418 (Fitchburg Line),419 (Fitchburg Line),421 (Fitchburg Line),422 (Fitchburg Line),423 (Fitchburg Line),424 (Fitchburg Line),425 (Fitchburg Line),426 (Fitchburg Line),427 (Fitchburg Line),428 (Fitchburg Line),429 (Fitchburg Line),430 (Fitchburg Line),431 (Fitchburg Line),432 (Fitchburg Line),433 (Fitchburg Line),435 (Fitchburg Line),481 (Fitchburg Line),482 (Fitchburg Line),485 (Fitchburg Line),486 (Fitchburg Line),489 (Fitchburg Line),490 (Fitchburg Line),493 (Fitchburg Line),494 (Fitchburg Line),497 (Fitchburg Line),498 (Fitchburg Line),500 (Framingham/Worcester Line),501 (Framingham/Worcester Line),502 (Framingham/Worcester Line),503 (Framingham/Worcester Line),504 (Framingham/Worcester Line),505 (Framingham/Worcester Line),506 (Framingham/Worcester Line),508 (Framingham/Worcester Line),509 (Framingham/Worcester Line),510 (Framingham/Worcester Line),513 (Framingham/Worcester Line),514 (Framingham/Worcester Line),517 (Framingham/Worcester Line),518 (Framingham/Worcester Line),521 (Framingham/Worcester Line),522 (Framingham/Worcester Line),523 (Framingham/Worcester Line),525 (Framingham/Worcester Line),526 (Framingham/Worcester Line),527 (Framingham/Worcester Line),528 (Framingham/Worcester Line),529 (Framingham/Worcester Line),530 (Framingham/Worcester Line),531 (Framingham/Worcester Line),532 (Framingham/Worcester Line),533 (Framingham/Worcester Line),534 (Framingham/Worcester Line),535 (Framingham/Worcester Line),536 (Framingham/Worcester Line),537 (Framingham/Worcester Line),538 (Framingham/Worcester Line),539 (Framingham/Worcester Line),541 (Framingham/Worcester Line),549 (Framingham/Worcester Line),552 (Framingham/Worcester Line),582 (Framingham/Worcester Line),583 (Framingham/Worcester Line),584 (Framingham/Worcester Line),585 (Framingham/Worcester Line),586 (Framingham/Worcester Line),591 (Framingham/Worcester Line),592 (Framingham/Worcester Line),593 (Framingham/Worcester Line),594 (Framingham/Worcester Line),595 (Framingham/Worcester Line),597 (Framingham/Worcester Line),598 (Framingham/Worcester Line),600 (Needham Line),602 (Needham Line),603 (Needham Line),604 (Needham Line),605 (Needham Line),606 (Needham Line),607 (Needham Line),608 (Needham Line),609 (Needham Line),610 (Needham Line),611 (Needham Line),612 (Needham Line),613 (Needham Line),614 (Needham Line),615 (Needham Line),616 (Needham Line),617 (Needham Line),618 (Needham Line),619 (Needham Line),620 (Needham Line),621 (Needham Line),622 (Needham Line),623 (Needham Line),624 (Needham Line),625 (Needham Line),626 (Needham Line),627 (Needham Line),628 (Needham Line),629 (Needham Line),630 (Needham Line),631 (Needham Line),632 (Needham Line),633 (Needham Line),635 (Needham Line),700 (Franklin/Foxboro Line),702 (Franklin/Foxboro Line),704 (Franklin/Foxboro Line),705 (Franklin/Foxboro Line),706 (Franklin/Foxboro Line),708 (Franklin/Foxboro Line),709 (Franklin/Foxboro Line),710 (Franklin/Foxboro Line),713 (Franklin/Foxboro Line),714 (Franklin/Foxboro Line),717 (Franklin/Foxboro Line),718 (Franklin/Foxboro Line),721 (Franklin/Foxboro Line),722 (Franklin/Foxboro Line),723 (Franklin/Foxboro Line),725 (Franklin/Foxboro Line),726 (Franklin/Foxboro Line),727 (Franklin/Foxboro Line),728 (Franklin/Foxboro Line),729 (Franklin/Foxboro Line),730 (Franklin/Foxboro Line),731 (Franklin/Foxboro Line),732 (Franklin/Foxboro Line),733 (Franklin/Foxboro Line),734 (Franklin/Foxboro Line),735 (Franklin/Foxboro Line),740 (Franklin/Foxboro Line),741 (Franklin/Foxboro Line),742 (Franklin/Foxboro Line),743 (Franklin/Foxboro Line),744 (Franklin/Foxboro Line),745 (Franklin/Foxboro Line),746 (Franklin/Foxboro Line),747 (Franklin/Foxboro Line),748 (Franklin/Foxboro Line),749 (Franklin/Foxboro Line),750 (Franklin/Foxboro Line),751 (Franklin/Foxboro Line),752 (Franklin/Foxboro Line),753 (Franklin/Foxboro Line),754 (Franklin/Foxboro Line),755 (Franklin/Foxboro Line),756 (Franklin/Foxboro Line),757 (Franklin/Foxboro Line),758 (Franklin/Foxboro Line),759 (Franklin/Foxboro Line),760 (Franklin/Foxboro Line),800 (Providence/Stoughton Line),801 (Providence/Stoughton Line),802 (Providence/Stoughton Line),803 (Providence/Stoughton Line),804 (Providence/Stoughton Line),805 (Providence/Stoughton Line),806 (Providence/Stoughton Line),807 (Providence/Stoughton Line),808 (Providence/Stoughton Line),809 (Providence/Stoughton Line),810 (Providence/Stoughton Line),811 (Providence/Stoughton Line),812 (Providence/Stoughton Line),813 (Providence/Stoughton Line),814 (Providence/Stoughton Line),815 (Providence/Stoughton Line),816 (Providence/Stoughton Line),817 (Providence/Stoughton Line),818 (Providence/Stoughton Line),819 (Providence/Stoughton Line),820 (Providence/Stoughton Line),821 (Providence/Stoughton Line),822 (Providence/Stoughton Line),823 (Providence/Stoughton Line),824 (Providence/Stoughton Line),825 (Providence/Stoughton Line),826 (Providence/Stoughton Line),827 (Providence/Stoughton Line),828 (Providence/Stoughton Line),829 (Providence/Stoughton Line),830 (Providence/Stoughton Line),831 (Providence/Stoughton Line),832 (Providence/Stoughton Line),833 (Providence/Stoughton Line),834 (Providence/Stoughton Line),835 (Providence/Stoughton Line),836 (Providence/Stoughton Line),837 (Providence/Stoughton Line),838 (Providence/Stoughton Line),839 (Providence/Stoughton Line),840 (Providence/Stoughton Line),841 (Providence/Stoughton Line),860 (Providence/Stoughton Line),861 (Providence/Stoughton Line),862 (Providence/Stoughton Line),864 (Providence/Stoughton Line),865 (Providence/Stoughton Line),866 (Providence/Stoughton Line),867 (Providence/Stoughton Line),868 (Providence/Stoughton Line),869 (Providence/Stoughton Line),870 (Providence/Stoughton Line),871 (Providence/Stoughton Line),872 (Providence/Stoughton Line),873 (Providence/Stoughton Line),874 (Providence/Stoughton Line),875 (Providence/Stoughton Line),876 (Providence/Stoughton Line),877 (Providence/Stoughton Line),878 (Providence/Stoughton Line),879 (Providence/Stoughton Line),880 (Providence/Stoughton Line),881 (Providence/Stoughton Line),882 (Providence/Stoughton Line),883 (Providence/Stoughton Line),884 (Providence/Stoughton Line),885 (Providence/Stoughton Line),886 (Providence/Stoughton Line),887 (Providence/Stoughton Line),888 (Providence/Stoughton Line),889 (Providence/Stoughton Line),891 (Providence/Stoughton Line),892 (Providence/Stoughton Line),893 (Providence/Stoughton Line),900 (Fairmount Line),902 (Fairmount Line),904 (Fairmount Line),907 (Fairmount Line),908 (Fairmount Line),909 (Fairmount Line),910 (Fairmount Line),911 (Fairmount Line),912 (Fairmount Line),913 (Fairmount Line),914 (Fairmount Line),915 (Fairmount Line),916 (Fairmount Line),917 (Fairmount Line),918 (Fairmount Line),919 (Fairmount Line),920 (Fairmount Line),921 (Fairmount Line),922 (Fairmount Line),923 (Fairmount Line),924 (Fairmount Line),927 (Fairmount Line),928 (Fairmount Line),929 (Fairmount Line),930 (Fairmount Line),931 (Fairmount Line),932 (Fairmount Line),933 (Fairmount Line),934 (Fairmount Line),935 (Fairmount Line),936 (Fairmount Line),937 (Fairmount Line),938 (Fairmount Line),939 (Fairmount Line),940 (Fairmount Line),941 (Fairmount Line),942 (Fairmount Line),943 (Fairmount Line),944 (Fairmount Line),945 (Fairmount Line),946 (Fairmount Line),947 (Fairmount Line),948 (Fairmount Line),949 (Fairmount Line),950 (Fairmount Line),951 (Fairmount Line),952 (Fairmount Line),953 (Fairmount Line),954 (Fairmount Line),955 (Fairmount Line),956 (Fairmount Line),957 (Fairmount Line),959 (Fairmount Line),960 (Fairmount Line),961 (Fairmount Line),963 (Fairmount Line),965 (Fairmount Line)
216,Gilman Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Government Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Griggs Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Green Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Haymarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Harvard Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Heath Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Hawes Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Hynes Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Jackson Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,JFK/UMass,05:41:00 (80),06:41:00 (80),07:31:00 (10),07:41:00 (80),08:51:00 (10),08:41:00 (80),10:06:00 (10),09:49:00 (80),11:21:00 (10),11:04:00 (80),12:36:00 (10),12:19:00 (80),13:51:00 (10),13:34:00 (80),15:06:00 (10),14:49:00 (80),16:11:00 (10),16:06:00 (80),17:01:00 (10),17:30:00 (80),18:01:00 (10),19:01:00 (80),19:11:00 (10),20:41:00 (10),21:11:00 (80),22:21:00 (10),22:51:00 (80),24:01:00 (10),06:21:00 (80),07:21:00 (80),08:31:00 (10),08:16:00 (80),09:39:00 (10),09:28:00 (80),10:54:00 (10),10:46:00 (80),12:09:00 (10),12:01:00 (80),13:24:00 (10),13:16:00 (80),14:39:00 (10),14:31:00 (80),15:39:00 (10),15:48:00 (80),16:39:00 (10),17:10:00 (80),17:39:00 (10),19:21:00 (80),18:51:00 (10),20:51:00 (80),20:21:00 (10),22:01:00 (10),,,05:56:00 (80),06:31:00 (10),07:01:00 (80),08:06:00 (10),07:59:00 (80),09:18:00 (10),09:01:00 (80),10:36:00 (10),10:16:00 (80),11:51:00 (10),11:31:00 (80),13:06:00 (10),12:46:00 (80),14:21:00 (10),14:01:00 (80),15:21:00 (10),15:16:00 (80),16:21:00 (10),16:48:00 (80),17:21:00 (10),18:39:00 (80),18:29:00 (10),20:32:00 (80),21:01:00 (10),23:06:00 (80),23:26:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
